beetle,age,diet pair,choice,avg.perc,sex,fat 2,fat 4,fat 6,fat 8,fat 10,prot 2,prot 4,prot 6,prot 8,prot 10,fat eaten,protein eaten,total eaten
101,21,1,1&5,48,m,0.020102984,0.023897629,0.0142155,0.007062742,0.019226774,0.037159516,0.026934871,0.024687,0.015062258,0.026723226,0.084505629,0.130566871,0.2150725
102,21,1,1&5,48,m,0.037445145,0.035000742,0.030487403,0.031292726,0.032042984,0.057652355,0.041314258,0.031760097,0.020979774,0.038919516,0.166269,0.190626,0.356895
103,21,1,1&5,48,m,0.035414677,0.019010774,0.024007919,0,0.022961565,0.023660323,0.016059226,0.035719581,0,0.041980935,0.101394935,0.117420065,0.218815
104,21,1,1&5,48,m,0.036773032,0.029071726,0.01376929,0.024400984,0.034933355,0.056046968,0.039545774,0.02247071,0.030051516,0.061336645,0.138948387,0.209451613,0.3484
105,21,1,1&5,48,m,0.030685742,0.062576194,0.06936629,0.048967839,0.03849021,0.069004258,0.066933806,0.05540871,0.065447161,0.07659229,0.250086274,0.333386226,0.5834725
106,21,1,1&5,48,m,0.009302371,0.005467081,0.006585129,0.007303048,0.008722419,0.025865129,0.011830419,0.018309871,0.004369452,0.024252581,0.037380048,0.084627452,0.1220075
107,21,1,1&5,48,m,0.019420645,0.029569565,0.036336274,0.027440597,0.039549597,0.035179355,0.034812935,0.036086226,0.038951903,0.040337903,0.152316677,0.185368323,0.337685
108,21,1,1&5,48,m,0.031263081,0.021253597,0.007009403,0.013191935,0.009164823,0.020814419,0.036953903,0.010548097,0.008758065,0.025482677,0.081882839,0.102557161,0.18444
109,21,1,1&5,48,m,0.036969581,0.056433274,0.046031758,0.039526516,0.050935855,0.050115419,0.050024226,0.051190742,0.043483484,0.082421645,0.229896984,0.277235516,0.5071325
110,21,1,1&5,48,m,0.030322484,0.037670323,0.041645048,0.037734565,0.045084242,0.047262516,0.044229677,0.052637452,0.059622935,0.076473258,0.192456661,0.280225839,0.4726825
111,21,1,1&5,48,m,0.020013919,0.016772306,0.012041452,0.006068,0.009521194,0.029243581,0.015635194,0.004783548,0.016872,0.014463806,0.064416871,0.080998129,0.145415
112,21,1,1&5,48,m,0.045815323,0.025304645,0.026892355,0.029513419,0.02598921,0.043759677,0.035715355,0.040022645,0.032066581,0.04283829,0.153514952,0.194402548,0.3479175
113,21,2,2&5,52,f,0.019027968,0.063718048,0.010824565,0.034598113,0.02714079,0.052907032,0.056189452,0.014722935,0.033689387,0.04920171,0.155309484,0.206710516,0.36202
114,21,2,2&5,52,f,0.019329758,0.019256032,0.040481194,0.017001177,0.010957355,0.014662742,0.026448968,0.017083806,0.019611323,0.018732645,0.107025516,0.096539484,0.203565
115,21,2,2&5,52,f,0.016632113,0.016990532,0.043912016,0.027908726,0.026686226,0.046245387,0.047241968,0.067460484,0.033623774,0.041788774,0.132129613,0.236360387,0.36849
116,21,2,2&5,52,f,0.008766065,0.034682871,0.048177935,0.011119323,0.014778,0.024373935,0.021092129,0.040682065,0.005035677,0.032532,0.117524194,0.123715806,0.24124
117,21,2,2&5,52,f,0.017753661,0.044127048,0.054234516,0.025507984,0.031953403,0.049363839,0.033635452,0.073195484,0.018249516,0.060854097,0.173576613,0.235298387,0.408875
118,21,2,2&5,52,f,0.036267371,0.027142581,0.009092742,0.028039371,0.03096821,0.090135129,0.025427419,0.025282258,0.011833129,0.04393429,0.131510274,0.196612226,0.3281225
119,21,2,2&5,52,f,0.028956435,0.016404597,0.096109903,0.037200887,0.023638855,0.050821065,0.030287903,0.071185097,0.038666613,0.036943645,0.202310677,0.227904323,0.430215
120,21,2,2&5,52,f,0.010378952,0.045381968,0.030077726,0.02056229,0.017706968,0.028858548,0.057703032,0.067339774,0.02276271,0.034643032,0.124107903,0.211307097,0.335415
121,21,2,2&5,52,f,0.051105565,0.011604984,0.022459274,0.018890419,0.012007403,0.065046935,0.032267516,0.009478226,0.052524581,0.018190097,0.116067645,0.177507355,0.293575
122,21,2,2&5,52,f,0.061305048,0.014458452,0.032197194,0.008219177,0.012265161,0.057337452,0.040201548,0.013587806,0.022853323,0.032224839,0.128445032,0.166204968,0.29465
123,21,2,2&5,52,f,0.076274661,0.066814516,0.049394581,0.012062726,0.00842021,0.053727839,0.043785484,0.020845419,0.019189774,0.02341229,0.212966694,0.160960806,0.3739275
124,21,2,2&5,52,f,0.041392532,0.055412774,0.050407226,0.023039129,0.009793048,0.064219968,0.063597226,0.021272774,0.015775871,0.027229452,0.18004471,0.19209529,0.37214
125,21,2,2&5,52,f,0.022713774,0.009387016,0.040751952,0.017576081,0.018241048,0.027281226,0.026100484,0.061580548,0.019526419,0.043421452,0.108669871,0.177910129,0.28658
126,21,2,2&5,52,f,0.006397984,0.015593887,0.081823565,0.029984597,0.007741371,0.017789516,0.043358613,0.048598935,0.021437903,0.020061129,0.141541403,0.151246097,0.2927875
127,21,2,2&5,52,m,0.037405677,0.065913468,0.014972935,0.026561774,0.016749823,0.017484323,0.030454032,0.041632065,0.027913226,0.046572677,0.161603677,0.164056323,0.32566
128,21,2,2&5,52,m,0.045861258,0.00843079,0.048540161,0.015000048,0.009112581,0.063173742,0.02344171,0.020484839,0.041707452,0.025337419,0.126944839,0.174145161,0.30109
129,21,2,2&5,52,m,0.021749839,0.049631839,0.094313194,0.021222113,0.009163161,0.060475161,0.061683161,0.094591806,0.028905387,0.021986839,0.196080145,0.267642355,0.4637225
130,21,2,2&5,52,m,0.034639081,0.038380306,0.039288581,0.01162,0.012926645,0.055538419,0.016197194,0.018291419,0.0274,0.020953355,0.136854613,0.138380387,0.275235
131,21,2,2&5,52,m,0.034048903,0,0.051038677,0.050949468,0.032675129,0.073721097,0.053697677,0.040646323,0.026168032,0.050479871,0.168712177,0.244713,0.413425177
132,21,2,2&5,52,m,0.009926274,0.062727984,0.012578403,0.034314597,0.041572065,0.019506226,0.042639516,0.034974097,0.026747903,0.037087935,0.161119323,0.160955677,0.322075
133,21,2,2&5,52,m,0.006171161,0.064729065,0.02374429,0.032203855,0.012665177,0.017158839,0.038355935,0.06602071,0.020103645,0.022917323,0.139513548,0.164556452,0.30407
134,21,2,2&5,52,m,0.023733048,0.022543387,0.074583919,0.061507645,0.011666306,0.065989452,0.062681613,0.088603581,0.025957355,0.027711194,0.194034306,0.270943194,0.4649775
135,21,2,2&5,52,m,0.030608484,0.013182823,0.037655855,0.009303032,0.013947258,0.085106516,0.036654677,0.104701645,0.025866968,0.032987742,0.104697452,0.285317548,0.390015
136,21,2,2&5,52,m,0.014051758,0.029071355,0.050954532,0.035862758,0.016121323,0.039070742,0.012268645,0.045387968,0.015134742,0.026083677,0.146061726,0.137945774,0.2840075
137,21,2,2&5,52,m,0.020945935,0.057624097,0.05561921,0.045446258,0.037832452,0.017954065,0.044390903,0.05116829,0.025353742,0.033137548,0.217467952,0.172004548,0.3894725
138,21,2,2&5,52,m,0.021465935,0.077521855,0.026659258,0.018964,0.0163455,0.014134065,0.032715645,0.074125742,0.020906,0.032657,0.160956548,0.174538452,0.335495
139,21,2,2&5,52,m,0.023355887,0.009492161,0.072302323,0.017294065,0.011029661,0.036036613,0.026392839,0.094557677,0.048085935,0.030667839,0.133474097,0.235740903,0.369215
140,21,2,2&5,52,m,0.016330565,0.014174435,0.077067355,0.015140306,0.036196339,0.045406935,0.034743065,0.037082645,0.014947194,0.034986161,0.158909,0.167166,0.326075
141,21,3,3&5,59.5,f,0.045796048,0.02382521,0.017102952,0.019729597,0.054579516,0.045401452,0.02069229,0.047554548,0.016247903,0.032485484,0.161033323,0.162381677,0.323415
142,21,3,3&5,59.5,f,0.045986371,0.007075806,0.018003387,0.023152903,0.022578097,0.037871129,0.019674194,0.031701613,0.019067097,0.017786903,0.116796565,0.126100935,0.2428975
143,21,3,3&5,59.5,f,0.013932806,0.023366774,0.004857935,0,0.042125677,0.022822194,0.019243226,0.009212065,0,0.030364323,0.084283194,0.081641806,0.165925
144,21,3,3&5,59.5,f,0.060118952,0.032409839,0.02690129,0.034865726,0.051640371,0.081118548,0.063605161,0.07479871,0.042941774,0.033127129,0.205936177,0.295591323,0.5015275
145,21,3,3&5,59.5,f,0.051023306,0.010830548,0.005111774,0.015453032,0.019373661,0.042019194,0.020144452,0.014213226,0.042966968,0.005443839,0.101792323,0.124787677,0.22658
146,21,3,3&5,59.5,f,0.02777879,0.022312742,0.038526935,0.035099661,0.047505935,0.04475371,0.028152258,0.031728065,0.036047839,0.034614065,0.171224065,0.175295935,0.34652
147,21,3,3&5,59.5,f,0.020996935,0.017844516,0.001917742,0.005171952,0.022911935,0.034128065,0.014695484,0.005332258,0.014380548,0.006438065,0.068843081,0.074974419,0.1438175
148,21,3,3&5,59.5,f,0.051090645,0.046205113,0.041708935,0.039028258,0.069005274,0.079869355,0.064007387,0.066286065,0.056731742,0.028052226,0.247038226,0.294946774,0.541985
149,21,3,3&5,59.5,f,0.021969758,0,0.000967468,0.016524274,0,0.018092742,0,0.002690032,0.013608226,0,0.0394615,0.034391,0.0738525
150,21,3,3&5,59.5,f,0.041232774,0.024716629,0.039619581,0.041414,0.043318597,0.093857226,0.056170871,0.037945419,0.041706,0.024833903,0.190301581,0.254513419,0.444815
151,21,3,3&5,59.5,f,0.034568952,0.019668774,0.016967129,0.024300403,0.037424629,0.028468548,0.031991226,0.026767871,0.020012097,0.014252871,0.132929887,0.121492613,0.2544225
